5,verified,29.383
102,fail,317.488
101,fail,299.569
100,fail,344.57
99,fail,361.138
98,verified,25.387
31,fail,201.655
30,fail,200.295
29,fail,347.872
28,verified,24.53
17,verified,23.993
69,fail,289.775
68,fail,282.636
78,fail,340.556
77,verified,26.451
67,fail,338.748
66,fail,335.901
65,fail,320.851
64,fail,360.303
63,verified,28.549
89,verified,23.045
40,fail,131.059
39,fail,120.66
38,fail,310.03
37,fail,327.512
36,verified,29.093
16,verified,23.579
54,fail,337.83
53,fail,368.644
52,verified,25.754
