12,fail,158.673
11,fail,156.726
1,fail,727.498
10,fail,332.828
9,fail,331.039
17,fail,177.618
8,fail,324.963
7,fail,339.74
16,fail,716.575
37,fail,180.184
36,fail,170.321
35,fail,159.749
34,fail,167.133
15,fail,735.571
33,fail,182.752
32,fail,185.547
31,fail,150.378
30,fail,152.233
14,fail,694.147
29,fail,164.397
6,fail,154.508
5,fail,176.866
28,fail,742.276
13,fail,696.328
26,fail,159.117
25,fail,167.542
24,fail,186.639
27,fail,707.058
23,fail,183.234
22,fail,440.052
4,fail,709.918
21,fail,760.618
3,fail,727.254
2,fail,682.929
20,fail,794.414
19,fail,760.239
18,fail,728.939
